第十篇 天仙境 第四章 孟欢,2638,2018-05-08 02:48:03
第十篇 天仙境 第五章 好心帮忙,2248,2018-05-09 02:21:24
第十篇 第六章 太上一脉？,2446,2018-05-10 02:17:35
第十篇 第七章 我是灵宝一脉,2425,2018-05-11 03:25:44
第十篇 第八章 陆凡和秦云,3156,2018-05-12 03:20:47
第十篇 第九章 飞剑出！,2838,2018-05-13 02:56:32
第十篇 第十章 深入,2357,2018-05-14 04:05:35
第十篇 第十一章 救人,3339,2018-05-15 03:13:01
第十篇 第十二章 凑齐大半,2351,2018-05-16 02:49:14
第十篇 第十三章 洞天之内,2419,2018-05-17 01:40:34
第十篇 第十四章 桃树下的白袍人,2132,2018-05-17 11:52:26
第十篇 第十五章 蝴蝶图,2377,2018-05-18 03:27:04
第十篇 第十六章 突破，天仙境（上）,2353,2018-05-18 11:35:00
第十篇 第十七章 突破，天仙境（下）,2500,2018-05-19 03:15:52
第十篇 第十八章 欢儿！,2653,2018-05-19 15:31:30
第十篇 第十九章 宝塔,3188,2018-05-20 02:53:43
第十篇 第二十章 熟悉的身影,2703,2018-05-20 21:31:02
第十篇 第二十一章 恭喜孟师弟,2506,2018-05-20 23:58:29
第十篇 第二十二章 上禀,2485,2018-05-21 23:02:44
第十年 第二十三章 争夺,2274,2018-05-22 00:59:18
第十篇 第二十四章 离去,3125,2018-05-23 00:01:46
第十篇 第二十五章 身份,2565,2018-05-23 23:20:51
第十篇 第二十六章 邀请,2956,2018-05-24 01:32:01
第十篇 第二十七章 再见蒲曲龙君（本篇终）,3295,2018-05-25 01:06:11
第十一篇 灭蛮祖教 第一章 召集,3089,2018-05-27 00:26:57
第十一篇 第二章 妻子伊萧,2032,2018-05-27 02:09:11
第十一篇 第三章 星如雨,2558,2018-05-28 01:30:01
第十一篇 第四章 灭！,3143,2018-05-29 02:14:28
第十一篇 第五章 百柄剑器,2556,2018-05-30 02:50:39
第十一篇 第六章 牛魔之躯,3636,2018-05-31 03:02:30
第十一篇 第七章 蛮祖教主的弱点,3308,2018-06-01 02:59:41
第十一篇 第八章 魔神世界的帝君,2532,2018-06-03 00:11:41
第十一篇 第九章 为了活命,2777,2018-06-04 01:48:13
第十一篇 第十章 鹫虎天魔的实力,2555,2018-06-05 01:14:51
第十一篇 第十一章 乾坤世界,3130,2018-06-06 00:31:12
第十一篇 第十二章 提前发动,2756,2018-06-07 03:17:01
第十一篇 第十三章 魔神帝君的两位弟子,3009,2018-06-08 02:27:20
第十一篇 第十四章 踏平蛮祖教,3261,2018-06-09 00:40:31
第十一篇 第十五章 大昌世界和魔神世界的碰撞,3086,2018-06-10 02:57:15
第十一篇 第十六章 你会后悔的！,3629,2018-06-11 02:48:30
第十一篇 第十七章 女儿和尊者,2187,2018-06-12 02:33:54
第十一篇 第十八章 我没法救她！,2701,2018-06-13 01:17:27
第十一篇 第十九章 黄袍尊者,2660,2018-06-14 02:06:06
第十一篇 第二十章 自创剑仙法门？,2548,2018-06-15 02:58:19
第十一篇 第二十一章 元神是一柄剑？,2103,2018-06-17 02:35:36
第十一篇 第二十二章 西海的那头上古天龙,2172,2018-06-18 02:33:16
第十一篇 第二十三章 凝练元神,2857,2018-06-19 03:43:58
第十一篇 第二十四章 终离去（本篇终）,2860,2018-06-20 03:11:14
第十二篇 自创法门 第一章 秦云和女儿,2725,2018-06-22 02:53:10
第十二篇 第二章 神霄道人的决定,2968,2018-06-23 03:21:43
第十二篇 第三章 本命飞剑的蜕变,2078,2018-06-24 03:44:38
第十二篇 第四章 秦云的自荐,2713,2018-06-25 03:36:52
第十二篇 第五章 第三位剑师的诞生,2900,2018-06-26 03:43:23
第十二篇 第六章 明悟,2786,2018-06-27 03:46:04
第十二篇 第七章 突飞猛进,2767,2018-06-28 03:02:41
第十二篇 第八章 天妖夔牛,2879,2018-06-28 23:56:56
第十二篇 第九章 输的太快,2583,2018-06-30 02:24:24
第十二篇 第十章 再败金蛇！,3345,2018-07-01 04:06:49
第十二篇 第十一章 无路可退,2596,2018-07-02 03:08:50
第十二篇 第十二章 褚负的赠与,3081,2018-07-03 03:36:11
第十二篇 第十三章 月夜下的突破,2834,2018-07-04 04:29:30
第十二篇 第十四章 女儿,2251,2018-07-05 04:04:11
第十二篇 第十五章 和女儿的初次见面,3595,2018-07-06 04:03:09
第十二篇 第十六章 相处,3453,2018-07-07 03:06:10
第十二篇 第十七章 欲扫清天下魔神,2793,2018-07-08 03:15:30
第十二篇 第十八章 元神！元神！,2158,2018-07-09 03:20:37
第十二篇 第十九章 我就是你父亲,2390,2018-07-10 03:35:03
第十二篇 第二十章 捉拿秦云,2916,2018-07-11 03:59:31
第十二篇 第二十一章 面对众战将,2757,2018-07-12 01:09:14
第十二篇 第二十二章 尊者现身,3313,2018-07-13 01:29:32
第十二篇 第二十三章 秦云的来历,2486,2018-07-14 01:08:52
第十二篇 第二十四章 降临,2427,2018-07-15 01:35:24
第十二篇 第二十五章 一家团聚（本篇终）,2468,2018-07-15 23:19:17
第十三篇 碧游宫学艺 第一章 入碧游宫,2462,2018-07-18 01:30:49
第十三篇 碧游宫学艺 第二章 宝山,2456,2018-07-19 01:58:32
第十三篇 第三章 剑典三十五卷,2396,2018-07-20 03:22:17
第十三篇 第四章 师兄师姐们,2543,2018-07-21 04:23:04
第十三篇 第五章 归乡，岁月,2795,2018-07-22 03:46:01
第十三篇 第六章 追杀魔神帝君,2233,2018-07-23 22:06:15
第十三篇 第七章 断剑谷潜修,2509,2018-07-24 00:00:28
第十三篇 第八章 顿悟,2221,2018-07-24 22:39:01
第十三篇 第九章 三个目标,2220,2018-07-25 00:19:03
第十三篇 第十章 白阐世界,2373,2018-07-25 23:35:10
